Order_ID,Order_Date,Customer_ID,Gender,Age,City,Product,Category,Quantity,Price,Discount,Total_Sales,Payment_Method,Rating
ORD10000,2024-08-16,CUST1142,Male,52.0,Mumbai,Phone,Electronics,1,2353,5.0,2235.35,Net Banking,1.0
ORD10001,2025-06-01,CUST1616,Male,53.0,Pune,Laptop,Electronics,1,1891,5.0,1796.45,Net Banking,2.0
ORD10002,2024-06-12,CUST1714,Female,39.0,Chennai,Watch,Accessories,5,2378,0.0,11890.0,Card,2.0
ORD10003,2024-04-09,CUST1367,Female,,Chennai,Chair,Furniture,1,859,15.0,730.15,UPI,
ORD10004,2024-03-21,CUST1565,Female,58.0,Hyderabad,Watch,Accessories,5,1122,15.0,4768.5,Card,
ORD10005,2024-03-22,CUST1875,Male,24.0,Jaipur,Phone,Electronics,1,1966,10.0,1769.4,Cash,4.0
ORD10006,2024-08-02,CUST1686,Female,59.0,Mumbai,Chair,Furniture,2,3132,10.0,5637.6,Card,5.0
ORD10007,2024-10-03,CUST1947,Male,38.0,Delhi,T-Shirt,Fashion,2,3886,15.0,6606.2,Card,1.0
ORD10008,2024-08-04,CUST1935,Female,31.0,Lucknow,Chair,Furniture,4,2293,0.0,9172.0,Net Banking,
ORD10009,2024-09-09,CUST1762,Female,55.0,Jaipur,Watch,Accessories,2,2269,5.0,4311.1,Net Banking,3.0
ORD10010,2024-04-03,CUST1773,Male,25.0,Bengaluru,T-Shirt,Fashion,2,4274,15.0,7265.8,Card,
ORD10011,2025-01-25,CUST1610,Female,51.0,Chennai,Book,Books,5,620,15.0,2635.0,UPI,
ORD10012,2024-12-14,CUST1114,Female,45.0,Bengaluru,Phone,Electronics,5,2285,,11425.0,Net Banking,1.0
ORD10013,2024-04-18,CUST1891,Female,58.0,Pune,Mixer,Home,5,1563,20.0,6252.0,Card,3.0
ORD10014,2024-11-27,CUST1500,Male,25.0,Hyderabad,Shoes,Fashion,-1,4444,0.0,22220.0,Cash,2.0
ORD10015,2024-03-28,CUST1749,Female,22.0,Bengaluru,Laptop,Electronics,2,4747,0.0,9494.0,Card,
ORD10016,2025-06-24,CUST1893,Female,31.0,Pune,Watch,Accessories,5,1452,10.0,6534.0,Cash,4.0
ORD10017,2024-05-03,CUST1253,Male,22.0,Hyderabad,Chair,Furniture,4,4339,15.0,14752.6,UPI,5.0
ORD10018,2024-03-13,CUST1724,Male,32.0,Mumbai,T-Shirt,Fashion,5,1904,0.0,9520.0,UPI,3.0
ORD10019,2025-05-12,CUST1219,Male,54.0,Lucknow,Phone,Electronics,5,2049,10.0,9220.5,Card,4.0
ORD10020,2025-03-17,CUST1362,Female,44.0,Lucknow,Book,Books,2,872,0.0,1744.0,UPI,
ORD10021,2024-12-13,CUST1819,Male,33.0,Pune,Phone,Electronics,1,3398,,3398.0,Card,5.0
ORD10022,2024-10-12,CUST1473,Male,22.0,Lucknow,Watch,Accessories,2,3556,5.0,6756.4,UPI,1.0
ORD10023,2025-02-20,CUST1497,Female,31.0,,Laptop,Electronics,1,2036,5.0,1934.2,UPI,2.0
ORD10024,2025-04-10,CUST1292,Female,53.0,Lucknow,Book,Books,1,3298,10.0,2968.2,Card,2.0
ORD10025,2024-03-03,CUST1765,Female,21.0,,Mixer,Home,2,579,20.0,926.4,Net Banking,5.0
ORD10026,2024-07-09,CUST1070,Male,33.0,Jaipur,Shoes,Fashion,1,4260,0.0,4260.0,UPI,5.0
ORD10027,2024-03-24,CUST1429,Female,34.0,Pune,T-Shirt,Fashion,5,4970,0.0,24850.0,Cash,2.0
ORD10028,2024-11-03,CUST1468,Female,22.0,Delhi,Mixer,Home,4,1172,,4688.0,Net Banking,5.0
ORD10029,2025-06-02,CUST1271,Male,40.0,Mumbai,Phone,Electronics,1,4504,5.0,4278.8,Card,3.0
ORD10030,2024-11-05,CUST1626,Male,60.0,Chennai,Mixer,Home,2,3689,20.0,5902.4,UPI,2.0
ORD10031,2024-06-08,CUST1278,Female,56.0,Pune,Mixer,Home,1,976,,976.0,Cash,2.0
ORD10032,2024-02-22,CUST1094,Female,35.0,Delhi,Mixer,Home,5,4102,10.0,18459.0,UPI,3.0
ORD10033,2025-03-28,CUST1564,Female,53.0,Delhi,Shoes,Fashion,3,1423,,4269.0,UPI,1.0
ORD10034,2024-05-31,CUST1440,Male,20.0,Chennai,Shoes,Fashion,5,395,10.0,1777.5,Cash,1.0
ORD10035,32-13-2024,CUST1362,Female,57.0,Bengaluru,Chair,Furniture,2,2144,,4288.0,Card,2.0
ORD10036,2024-12-06,CUST1801,Female,60.0,Pune,Shoes,Fashion,4,303,5.0,1151.4,Cash,2.0
ORD10037,2024-08-15,CUST1204,Female,40.0,Chennai,Phone,Electronics,4,417,15.0,1417.8,Card,2.0
ORD10038,2024-10-12,CUST1885,Male,35.0,Hyderabad,Laptop,Electronics,2,3364,10.0,6055.2,Net Banking,
ORD10039,2024-07-01,CUST1594,Female,20.0,Mumbai,Chair,Furniture,1,1044,10.0,939.6,Net Banking,3.0
ORD10040,2025-01-29,CUST1921,Male,34.0,Delhi,Chair,Furniture,4,4289,0.0,17156.0,Net Banking,1.0
ORD10041,2024-12-04,CUST1638,Female,60.0,Mumbai,T-Shirt,Fashion,3,3633,0.0,10899.0,Cash,5.0
ORD10042,2024-10-29,CUST1567,Male,30.0,Jaipur,Mixer,Home,4,2772,15.0,9424.8,Net Banking,
ORD10043,2025-02-19,CUST1561,Male,37.0,Chennai,Shoes,Fashion,5,4762,10.0,21429.0,Card,4.0
ORD10044,2024-08-06,CUST1523,Female,28.0,Mumbai,Chair,Furniture,4,3719,15.0,12644.6,Cash,5.0
ORD10045,2024-11-13,CUST1230,Male,27.0,Delhi,Chair,Furniture,1,2024,,2024.0,UPI,2.0
ORD10046,2025-02-28,CUST1907,Male,42.0,Lucknow,Watch,Accessories,5,696,15.0,2958.0,Net Banking,2.0
ORD10047,2024-08-12,CUST1180,Female,21.0,Pune,Shoes,Fashion,1,973,15.0,827.05,UPI,4.0
ORD10048,2024-11-20,CUST1972,Female,57.0,Jaipur,Shoes,Fashion,4,unknown,20.0,14243.2,Net Banking,2.0
ORD10049,2024-10-10,CUST1784,Female,58.0,Pune,Watch,Accessories,4,2223,5.0,8447.4,Cash,4.0
ORD10050,2024-12-09,CUST1327,Male,26.0,Bengaluru,Phone,Electronics,3,2020,10.0,5454.0,Card,4.0
ORD10051,2025-02-21,CUST1338,Female,44.0,Delhi,Shoes,Fashion,2,626,15.0,1064.2,Card,4.0
ORD10052,2025-01-24,CUST1488,Male,40.0,Chennai,Book,Books,5,260,20.0,1040.0,Net Banking,4.0
ORD10053,2025-03-22,CUST1497,Male,42.0,Hyderabad,T-Shirt,Fashion,4,1897,10.0,6829.2,Net Banking,
ORD10054,2024-01-28,CUST1928,Female,55.0,Delhi,Shoes,Fashion,4,1145,20.0,3664.0,UPI,
ORD10055,2024-02-21,CUST1266,Female,,Pune,Book,Books,2,3882,5.0,7375.8,Net Banking,3.0
ORD10056,2024-09-15,CUST1854,Male,48.0,Delhi,Chair,Furniture,4,2379,15.0,8088.6,UPI,3.0
ORD10057,2024-09-10,CUST1204,Male,57.0,Bengaluru,T-Shirt,Fashion,1,429,0.0,429.0,Card,2.0
ORD10058,2025-04-21,CUST1716,Female,41.0,Bengaluru,Watch,Accessories,1,4720,5.0,4484.0,UPI,2.0
ORD10059,2024-11-15,CUST1589,Female,43.0,Pune,Mixer,Home,1,4840,0.0,4840.0,UPI,5.0
ORD10060,2024-05-03,CUST1815,Male,40.0,Jaipur,T-Shirt,Fashion,1,2570,,2570.0,Cash,1.0
ORD10061,2024-04-18,CUST1443,Female,58.0,Lucknow,Chair,Furniture,1,3541,15.0,3009.85,Card,4.0
